name,short_name,english_name,address,location,city,province,phone,email,website,facebook,logo_url,banner_url,description,history,mission,vision,type,status,founded_year,accreditation,specializations,facilities,achievements,ranking_national,ranking_international,student_count,faculty_count,acceptance_rate,tuition_fee_min,tuition_fee_max,currency,admission_requirements,scholarships,international_partnerships,campus_map_url,latitude,longitude,is_featured,is_verified,view_count,review_count,average_rating,total_rating,source,crawled_at
Thủy lợi,Thủy lợi,Thủy lợi University,TLU,[],,,,,TLA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539092
Thương mại,Thương mại,Thương mại University,TMU,[],,,,,TMA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539112
Văn hóa Hà Nội,Văn hóa Hà...,Văn hóa Hà Nội University,HUC,[],,,,,VHH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539132
Xây dựng Hà Nội,Xây dựng H...,Xây dựng Hà Nội University,HUCE,[],,,,,XDA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539157
Y Hà Nội,Y Hà Nội,Y Hà Nội University,HMU,[],,,,,YHB,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539188
Y tế Công cộng,Y tế Công ...,Y tế Công cộng University,HUPH,[],,,,,YTC,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539214
Thủ đô Hà Nội,Thủ đô Hà ...,Thủ đô Hà Nội University,HNMU,[],,,,,HNM,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539245
Công nghiệp Dệt May Hà Nội,Công nghiệ...,Công nghiệp Dệt May Hà Nội University,HTU,[],,,,,CCM,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539274
Mở Hà Nội,Mở Hà Nội,Mở Hà Nội University,HOU,[],,,,,MHN,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539296
Văn hóa - Nghệ thuật Quân đội,Văn hóa - ...,Văn hóa - Nghệ thuật Quân đội University,MUCA,[],,,,,ZNH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539328
Phòng cháy chữa cháy,Phòng cháy...,Phòng cháy chữa cháy University,UFPF,[],,,,,PCH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539374
Học viện Múa Việt Nam,Học viện M...,Học viện Múa Việt Nam University,VNAD,[],,,,,,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539688
Học viện Âm nhạc Quốc gia Việt Nam,Học viện Â...,Học viện Âm nhạc Quốc gia Việt Nam University,VNAM,[],,,,,NVH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539741
Học viện Chính trị Quốc gia Hồ Chí Minh,Học viện C...,Học viện Chính trị Quốc gia Hồ Chí Minh University,HCMA,[],,,,,,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539783
Học viện Báo chí và Tuyên truyền,Học viện B...,Học viện Báo chí và Tuyên truyền University,AJC,[],,,,,HBT,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539837
Học viện Hành chính và Quản trị công,Học viện H...,Học viện Hành chính và Quản trị công University,APAG,[],,,,,HCH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539878
Học viện Chính trị Khu vực I,Học viện C...,Học viện Chính trị Khu vực I University,APRI,[],,,,,,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539909
Học viện Biên phòng,Học viện B...,Học viện Biên phòng University,HVBP,[],,,,,BPH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539940
