name,address,website,type,location,source,combined_at,normalized_name,category,crawled_at
Học viện Múa Việt Nam,VNAD,,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712909,Học viện Múa Việt Nam,Đa ngành,
Học viện Âm nhạc Quốc gia Việt Nam,VNAM,NVH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712914,Học viện Âm nhạc Quốc gia Việt Nam,Đa ngành,
Học viện Chính trị Quốc gia Hồ Chí Minh,HCMA,,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712920,Học viện Chính trị Quốc gia Hồ Chí Minh,Đa ngành,
Học viện Báo chí và Tuyên truyền,AJC,HBT,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712926,Học viện Báo chí và Tuyên truyền,Y tế,
Học viện Hành chính và Quản trị công,APAG,HCH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712930,Học viện Hành chính và Quản trị công,Kinh tế,
Học viện Chính trị Khu vực I,APRI,,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712933,Học viện Chính trị Khu vực I,Đa ngành,
Học viện Biên phòng,HVBP,BPH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712938,Học viện Biên phòng,Đa ngành,
Học viện Công nghệ Bưu chính Viễn thông,PTIT,BVH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712943,Học viện Công nghệ Bưu chính Viễn thông,Kỹ thuật,
Học viện Chính trị,,HCB,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712945,Học viện Chính trị,Đa ngành,
Học viện Kỹ thuật Mật mã,VACT,KMA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712950,Học viện Kỹ thuật Mật mã,Kỹ thuật,
Học viện Ngân hàng,BAV,NHH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712952,Học viện Ngân hàng,Đa ngành,
Học viện Ngoại giao,DAV,HQT,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712956,Học viện Ngoại giao,Đa ngành,
